0,Settle_ED1,Settle_ED2,Settle_ED3,Settle_ED4,Settle_ED5,Settle_ED6,Settle_ED7,Settle_ED8,Settle_ED9,Settle_ED10,Settle_ED11,Settle_ED12,Settle_ED13,Settle_ED14,Settle_ED15,Settle_ED16,Settle_ED17,Settle_ED18,Settle_ED19,Settle_ED20
2005-01-03,2.9663736263736267,3.236326530612245,3.4424175824175824,3.6070238095238096,3.718418367346939,3.8068681318681317,3.8985714285714286,3.9923076923076923,4.072142857142857,4.156428571428571,4.239615384615385,4.332362637362637,4.410659340659341,4.504835164835165,4.595824175824176,4.684945054945055,4.765824175824176,4.855824175824176,4.947747252747253,
2005-01-04,3.004945054945055,3.316530612244898,3.536428571428571,3.7141666666666664,3.829387755102041,3.9164285714285714,3.998846153846154,4.08901098901099,4.173076923076923,4.257307692307692,4.335714285714285,4.4023076923076925,4.475824175824176,4.5649450549450545,4.651813186813187,4.739835164835164,4.816813186813187,4.905879120879121,4.992802197802198,
2005-01-05,3.0175274725274726,3.3239795918367347,3.5442307692307695,3.7255357142857144,3.8392857142857144,3.9230769230769234,4.0090109890109895,4.092307692307693,4.1631868131868135,4.241538461538462,4.321098901098901,4.425604395604395,4.464945054945055,4.544945054945055,4.627802197802198,4.714615384615385,4.787802197802198,4.875824175824176,4.958791208791209,
2005-01-06,3.004230769230769,3.2864285714285715,3.5054945054945055,3.680952380952381,3.792448979591837,3.884835164835165,3.9767032967032967,4.069945054945054,4.149065934065934,4.227307692307693,4.299945054945055,4.381813186813187,4.465824175824176,4.545824175824176,4.629835164835165,4.720384615384615,4.793791208791209,4.8817032967032965,4.96478021978022,
2005-01-07,3.022362637362637,3.321122448979592,3.5492857142857144,3.735297619047619,3.8561224489795918,3.9390659340659337,4.021813186813187,4.107857142857143,4.171208791208791,4.238681318681318,4.32989010989011,4.391923076923077,4.491703296703296,4.571703296703296,4.655879120879121,4.746153846153846,4.818681318681318,4.902582417582417,4.985769230769231,
2005-01-10,3.0465384615384616,3.340051020408163,3.5717582417582414,3.7585714285714285,3.873877551020408,3.9567032967032967,4.039780219780219,4.125,4.192582417582417,4.270384615384615,4.344615384615385,4.425714285714286,4.494340659340659,4.574340659340659,4.659010989010989,4.748461538461538,4.82021978021978,4.90021978021978,4.9824175824175825,
2005-01-11,3.052857142857143,3.35265306122449,3.5828571428571427,3.7649999999999997,3.8784183673469386,3.9564835164835164,4.033461538461538,4.108296703296703,4.167307692307692,4.238846153846153,4.309175824175824,4.397637362637362,4.4678571428571425,4.571318681318681,4.613736263736263,4.699230769230769,4.76978021978022,4.846098901098902,4.928351648351649,
2005-01-12,3.0564285714285715,3.353877551020408,3.578846153846154,3.7551190476190475,3.8642857142857143,3.942307692307692,4.019340659340659,4.093901098901099,4.149505494505495,4.214340659340659,4.295219780219781,4.380054945054946,4.461868131868132,4.516098901098902,4.599725274725275,4.695,4.787857142857143,4.85010989010989,4.914285714285714,
2005-01-13,3.0523076923076924,3.327142857142857,3.5385164835164837,3.706488095238095,3.81515306122449,3.8943406593406595,3.9752197802197804,4.049505494505494,4.1026373626373625,4.161483516483516,4.239505494505495,4.301978021978022,4.380604395604395,4.455604395604396,4.535714285714286,4.616318681318681,4.676428571428572,4.7542857142857144,4.840219780219781,
2005-01-14,3.071978021978022,3.363979591836735,3.588021978021978,3.7614285714285716,3.866020408163265,3.9439560439560437,4.01978021978022,4.09010989010989,4.147142857142857,4.212142857142857,4.281978021978022,4.352857142857142,4.405,4.4750000000000005,4.551703296703297,4.633461538461539,4.695769230769231,4.767252747252748,4.846153846153847,
2005-01-17,,,,,,,,,,,,,,,,,,,,
2005-01-18,3.092857142857143,3.3841836734693875,3.6063736263736264,3.776666666666667,3.8812244897959185,3.962252747252747,4.036538461538461,4.1025274725274725,4.158461538461538,4.22,4.287307692307692,4.351483516483516,4.406428571428571,4.4714285714285715,4.543956043956044,4.61934065934066,4.678846153846154,4.748846153846154,4.82489010989011,
2005-01-19,3.0964285714285715,3.3867346938775507,3.606923076923077,3.7712499999999998,3.8721428571428573,3.95,4.020494505494506,4.093131868131868,4.149120879120879,4.210714285714286,4.2797252747252745,4.347032967032967,4.402142857142858,4.467142857142857,4.53989010989011,4.614945054945055,4.674615384615385,4.7446153846153845,4.820824175824176,
2005-01-20,3.0865384615384617,3.3471428571428574,3.5491758241758244,3.704285714285714,3.8062244897959183,3.8854945054945054,3.9680219780219783,4.0454395604395605,4.10478021978022,4.168076923076923,4.240549450549451,4.309340659340659,4.36434065934066,4.428131868131868,4.510824175824176,4.587417582417583,4.650384615384615,4.720384615384615,4.7967582417582415,
2005-01-21,3.059835164835165,3.298979591836735,3.491043956043956,3.645595238095238,3.7470918367346937,3.826373626373626,3.908956043956044,3.987857142857143,4.053846153846154,4.12043956043956,4.191648351648352,4.264505494505494,4.313571428571429,4.38945054945055,4.476153846153846,4.552692307692308,4.631153846153846,4.703021978021978,4.7846153846153845,
2005-01-24,3.0757142857142856,3.3195408163265308,3.5184615384615383,3.676547619047619,3.781734693877551,3.862197802197802,3.93989010989011,4.015,4.077417582417582,4.1448901098901105,4.227692307692308,4.2918681318681315,4.335714285714285,4.402692307692308,4.4775274725274725,4.547967032967033,4.608461538461539,4.680494505494505,4.760494505494505,
2005-01-25,3.088076923076923,3.340918367346939,3.547252747252747,3.7120833333333336,3.824744897959184,3.908021978021978,3.9876923076923076,4.0637362637362635,4.125,4.191923076923077,4.266648351648352,4.337362637362638,4.398461538461539,4.468461538461539,4.5454945054945055,4.618571428571428,4.679230769230769,4.751318681318681,4.831428571428571,
